2020-03-03 11:30:13.942 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
2020-03-03 11:30:14.008 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
2020-03-03 11:30:22.771 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver - Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2020-03-03 11:42:29.898 [main] WARN  com.ctrip.framework.apollo.core.utils.ResourceUtils - No available properties: apollo-env.properties
2020-03-03 11:42:44.232 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 11:42:44.276 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 11:42:44.381 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 11:42:44.418 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 11:42:44.558 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
2020-03-03 11:42:44.624 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
2020-03-03 11:42:49.851 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver - Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2020-03-03 11:55:45.347 [main] WARN  com.ctrip.framework.apollo.core.utils.ResourceUtils - No available properties: apollo-env.properties
2020-03-03 11:56:00.347 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 11:56:00.392 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 11:56:00.514 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 11:56:00.553 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 11:56:00.707 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
